Bug 329197 – Compiler errors in various projects due to OSGi r4.3 API changes
Description	Resource	Path	Location	Type
The method getServiceReferences(String, String) is ambiguous for the type BundleContext	Activator.java	/org.eclipse.ecf.osgi.services.distribution/src/org/eclipse/ecf/internal/osgi/services/distribution	line 190	Java Problem
The method getServiceReferences(String, String) is ambiguous for the type BundleContext	RemoteOSGiServiceImpl.java	/ch.ethz.iks.r_osgi.remote/src/main/java/ch/ethz/iks/r_osgi/impl	line 982	Java Problem
The method registerService(String, Object, Dictionary<String,?>) in the type BundleContext is not applicable for the arguments (String, AbstractEndpointDescriptionFactory, Properties)	Activator.java	/org.eclipse.ecf.osgi.services.remoteserviceadmin/src/org/eclipse/ecf/internal/osgi/services/remoteserviceadmin	line 101	Java Problem
The method registerService(String, Object, Dictionary<String,?>) in the type BundleContext is not applicable for the arguments (String, AbstractServiceInfoFactory, Properties)	Activator.java	/org.eclipse.ecf.osgi.services.remoteserviceadmin/src/org/eclipse/ecf/internal/osgi/services/remoteserviceadmin	line 98	Java Problem
The method registerService(String, Object, Dictionary<String,?>) in the type BundleContext is not applicable for the arguments (String, Hello, Properties)	HelloHostApplication.java	/org.eclipse.ecf.examples.remoteservices.hello.host/src/org/eclipse/ecf/internal/examples/remoteservices/hello/host	line 82	Java Problem
The method registerService(String, Object, Dictionary<String,?>) in the type BundleContext is not applicable for the arguments (String, ServicePublication, Properties)	PublishTest.java	/org.eclipse.ecf.tests.osgi.services.discovery/src/org/eclipse/ecf/tests/osgi/services/discovery	line 81	Java Problem
The method registerService(String[], Object, Dictionary<String,?>) in the type BundleContext is not applicable for the arguments (String[], Object, Properties)	AbstractDistributionTest.java	/org.eclipse.ecf.tests.osgi.services.distribution/src/org/eclipse/ecf/tests/osgi/services/distribution	line 164	Java Problem
The method registerService(String[], Object, Dictionary<String,?>) in the type BundleContext is not applicable for the arguments (String[], ZooDiscoveryContainer, Properties)	DiscoveryActivator.java	/org.eclipse.ecf.provider.zookeeper/src/org/eclipse/ecf/provider/zookeeper	line 51	Java Problem
The type RemoteFilterImpl must implement the inherited abstract method Filter.matches(Map)	RemoteFilterImpl.java	/org.eclipse.ecf.provider.r_osgi/src/org/eclipse/ecf/internal/provider/r_osgi	line 22	Java Problem
The type RemoteFilterImpl must implement the inherited abstract method Filter.matches(Map)	RemoteFilterImpl.java	/org.eclipse.ecf.provider.remoteservice/src/org/eclipse/ecf/provider/remoteservice/generic	line 23	Java Problem
The type RemoteFilterImpl must implement the inherited abstract method Filter.matches(Map<String,?>)	RemoteFilterImpl.java	/org.eclipse.ecf.remoteservice/src/org/eclipse/ecf/remoteservice/util	line 25	Java Problem
