267782:	[2, 5, 6]
259072:	[1]
476163:	[4]
426497:	[1]
170510:	[]
180751:	[1]
228876:	[4, 5]
485384:	[1]
228882:	[1, 3]
261649:	[1]
476180:	[1]
202772:	[9]
329247:	[1]
412186:	[1, 3, 8, 10]
255006:	[5]
280601:	[3]
333850:	[]
236066:	[1, 2, 5]
187936:	[4]
482862:	[1, 2]
204329:	[]
218159:	[1]
472106:	[1]
282667:	[5]
312363:	[]
303156:	[1, 10]
166450:	[1]
407606:	[1, 3, 7]
200754:	[8]
265269:	[1]
332852:	[2]
397877:	[1]
335920:	[2]
332851:	[]
406064:	[]
264242:	[]
419902:	[1]
187960:	[1, 4, 6, 7]
280132:	[3]
277573:	[1, 5, 6]
328772:	[1]
232006:	[1, 4]
256580:	[4]
256079:	[1]
472661:	[1]
328278:	[1]
200791:	[4, 5]
420433:	[2]
199259:	[]
265816:	[6]
256605:	[2, 5]
320612:	[1]
412261:	[1, 2, 3, 5]
265312:	[1, 2, 3, 9]
235115:	[3]
441455:	[1, 2, 3]
488045:	[1, 2, 3]
303215:	[]
285801:	[2, 10]
485482:	[3]
490090:	[]
206444:	[]
463991:	[2, 6]
197745:	[2, 4, 9]
331383:	[2, 3]
295030:	[8]
314999:	[1, 7]
424060:	[2]
318075:	[]
408185:	[6]
171138:	[3, 10]
211587:	[5]
125572:	[3]
292995:	[3]
414337:	[1]
224907:	[]
213642:	[3, 4, 10]
280205:	[]
205967:	[1]
432778:	[2]
180364:	[4, 9]
222866:	[1, 3, 8, 9, 10]
407710:	[1, 9]
474267:	[2]
222878:	[1]
234142:	[]
234141:	[2, 9]
342694:	[1, 2, 3, 4, 6]
316071:	[]
463524:	[1, 2, 3, 4]
339616:	[1]
463008:	[1]
274604:	[1]
308908:	[3]
261803:	[]
471213:	[6]
261805:	[1, 4]
270516:	[1]
264887:	[2, 7]
263858:	[]
266428:	[1, 4]
320188:	[1, 2, 3, 4, 5]
314558:	[2]
273599:	[1, 2, 7, 9]
198334:	[10]
326841:	[1]
252093:	[3]
338107:	[8]
218300:	[1, 3]
252092:	[]
190653:	[1, 2]
265412:	[1]
176322:	[2, 5, 6, 9]
218306:	[8]
265413:	[1]
313029:	[2]
265415:	[1, 3]
265408:	[3, 4]
218310:	[2, 3, 5, 9]
265410:	[2]
421569:	[1, 5, 9]
218308:	[]
166603:	[2, 7]
278222:	[1]
221896:	[1]
274632:	[2, 8]
316106:	[]
313047:	[1]
497876:	[]
255191:	[1]
296145:	[1, 2, 3, 4, 5, 7, 8, 9, 10]
327379:	[3]
165082:	[]
267481:	[]
337624:	[3]
254684:	[1]
499942:	[1, 6]
219878:	[]
324333:	[]
273135:	[2]
499946:	[1, 7]
337643:	[]
337653:	[5]
195824:	[4]
478452:	[2]
414448:	[1]
256767:	[2]
223484:	[2]
181506:	[]
211713:	[1, 4]
242950:	[1]
327936:	[]
264962:	[]
267523:	[1]
192778:	[1]
236810:	[1, 4, 8]
236815:	[2]
267528:	[1, 10]
337673:	[3, 10]
236812:	[2]
236819:	[2, 5]
259856:	[1, 2]
236823:	[5, 9]
486675:	[6]
208667:	[1]
423708:	[3]
320799:	[1]
446237:	[1, 2, 3, 4]
236831:	[1]
462107:	[1]
404763:	[1]
310554:	[1]
319269:	[]
326949:	[1, 2, 4, 5, 9]
328999:	[1]
400164:	[1, 2, 3]
328998:	[2]
230182:	[2, 3, 9]
235302:	[1, 2]
206118:	[1]
230180:	[3, 4]
269091:	[5]
270644:	[]
261937:	[1]
273718:	[1]
226608:	[7, 10]
207670:	[2]
341820:	[1]
325950:	[]
464701:	[6]
332601:	[1, 4, 9]
261438:	[1]
327994:	[2]
341818:	[]
424262:	[1]
302407:	[1]
293191:	[1, 3]
496963:	[1]
257861:	[]
257864:	[1, 4, 7, 8, 10]
265551:	[1]
339790:	[2]
233807:	[1, 3]
299849:	[2]
184655:	[]
259917:	[1]
328011:	[1, 3]
255308:	[2]
134483:	[5]
342356:	[3]
233809:	[1]
398676:	[1, 2]
233808:	[]
326481:	[1, 4]
216405:	[1, 3, 7]
256853:	[1]
207706:	[2]
342364:	[1, 2]
258904:	[4, 6]
328542:	[7]
329054:	[3]
224095:	[1]
263514:	[1, 2, 4]
339291:	[6]
251740:	[]
473446:	[]
255329:	[1]
473443:	[]
234342:	[1]
258927:	[1]
259439:	[1, 7, 8]
209774:	[]
232813:	[1, 4, 6]
255347:	[2]
327029:	[6]
254833:	[2]
